name math java ds avg total
张三0 74 29 57 0 0
张三1 41 90 46 0 0
张三2 18 38 67 0 0
张三3 99 36 81 0 0
张三4 59 100 82 0 0
张三5 69 78 6 0 0
张三6 90 85 53 0 0
张三7 76 61 97 0 0
张三8 32 91 32 0 0
张三9 9 56 84 0 0
张三10 64 40 39 0 0
张三11 44 38 68 0 0
张三12 80 81 95 0 0
张三13 33 60 21 0 0
张三14 12 56 12 0 0
张三15 87 86 39 0 0
张三16 0 6 11 0 0
张三17 36 55 17 0 0
张三18 53 97 70 0 0
张三19 0 59 65 0 0
张三20 26 8 100 0 0
张三21 90 97 45 0 0
张三22 78 75 25 0 0
张三23 65 10 48 0 0
张三24 20 94 0 0 0
张三25 44 81 48 0 0
张三26 41 39 85 0 0
张三27 96 75 94 0 0
张三28 22 90 83 0 0
张三29 7 86 52 0 0
张三30 48 21 64 0 0
张三31 1 31 63 0 0
张三32 79 58 98 0 0
张三33 48 77 97 0 0
张三34 38 34 35 0 0
张三35 45 53 39 0 0
张三36 93 75 95 0 0
张三37 34 97 87 0 0
张三38 23 32 73 0 0
张三39 11 58 1 0 0
张三40 76 31 18 0 0
张三41 63 15 56 0 0
张三42 70 16 0 0 0
张三43 64 32 5 0 0
张三44 6 50 88 0 0
张三45 11 97 34 0 0
张三46 31 35 28 0 0
张三47 92 34 13 0 0
张三48 63 86 59 0 0
张三49 96 77 25 0 0
张三50 52 99 74 0 0
张三51 66 53 37 0 0
张三52 62 30 4 0 0
张三53 40 19 28 0 0
张三54 34 31 79 0 0
张三55 32 61 80 0 0
张三56 77 38 21 0 0
张三57 6 90 69 0 0
张三58 66 60 48 0 0
张三59 34 65 49 0 0
张三60 39 75 70 0 0
张三61 89 38 33 0 0
张三62 22 54 3 0 0
张三63 69 77 34 0 0
张三64 34 64 2 0 0
张三65 36 43 71 0 0
张三66 39 57 24 0 0
张三67 64 66 32 0 0
张三68 6 68 96 0 0
张三69 43 63 83 0 0
张三70 46 45 8 0 0
张三71 0 45 83 0 0
张三72 65 82 33 0 0
张三73 17 78 65 0 0
张三74 88 17 97 0 0
张三75 8 39 41 0 0
张三76 53 27 90 0 0
张三77 42 89 90 0 0
张三78 29 32 58 0 0
张三79 5 50 40 0 0
张三80 86 86 98 0 0
张三81 25 6 66 0 0
张三82 63 90 18 0 0
张三83 87 4 80 0 0
张三84 98 35 21 0 0
张三85 61 55 36 0 0
张三86 30 88 13 0 0
张三87 29 1 2 0 0
张三88 67 29 86 0 0
张三89 31 28 51 0 0
张三90 10 78 25 0 0
张三91 21 97 39 0 0
张三92 87 5 4 0 0
张三93 12 96 23 0 0
张三94 67 15 9 0 0
张三95 26 1 40 0 0
张三96 18 90 51 0 0
张三97 70 47 32 0 0
张三98 42 84 76 0 0
张三99 21 25 57 0 0
